"AwardCategory","AwardWinner","SecondaryName.list","AwardCeremony","FilmID","FilmName","PersonID","PersonName","CompanyID","CompanyName","Title","Year","Rated","Released","Runtime","Genre","Director","Writer","Actors","Plot","Language","Country","Awards","Poster","Metascore","imdbRating","imdbVotes","imdbID","Type","totalSeasons","Season","Episode","seriesID","IMDb","Metacritic","RottenTomatoes","Rating","Rated.Date","Prime","Amazon.Type"
"Best Director",NA,"Hamlet","21-1949","tt0040416","Hamlet","nm0000059","Laurence Olivier",NA,NA,"Hamlet",1948,"Approved","11 Jun 1948","154 min","Drama","Laurence Olivier","William Shakespeare, Laurence Olivier","Laurence Olivier, Jean Simmons, John Laurie","Prince Hamlet struggles over whether or not he should kill his uncle, whom he suspects has murdered his father, the former king.","English","United Kingdom","Won 4 Oscars. 16 wins & 8 nominations total","https://m.media-amazon.com/images/M/MV5BMTQ5MTA5NjYyOV5BMl5BanBnXkFtZTcwMjI5MjkzNA@@._V1_SX300.jpg","82","7.6","16,504","tt0040416","movie",NA,NA,NA,NA,"7.6/10","82/100","95%",NA,NA,NA,NA
"Best Director","Winner","A Letter to Three Wives","22-1950","tt0041587","A Letter to Three Wives","nm0000581","Joseph L. Mankiewicz",NA,NA,"A Letter to Three Wives",1949,"Not Rated","03 Feb 1949","103 min","Drama, Romance","Joseph L. Mankiewicz","Vera Caspary, John Klempner, Joseph L. Mankiewicz","Jeanne Crain, Linda Darnell, Ann Sothern","A letter is addressed to three wives from their ""best friend"" Addie Ross, announcing that she is running away with one of their husbands - but she does not say which one.","English, Spanish","United States","Won 2 Oscars. 5 wins & 1 nomination total","https://m.media-amazon.com/images/M/MV5BMzg0ZWQ1Y2EtYzBkMi00MTk0LWFhMTEtZGUwZTIzNGYyOWI0XkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg","N/A","7.7","9,387","tt0041587","movie",NA,NA,NA,NA,"7.7/10",NA,"95%",NA,NA,NA,NA
"Best Director",NA,"The Fallen Idol","22-1950","tt0040338","The Fallen Idol","nm0715346","Carol Reed",NA,NA,"The Fallen Idol",1948,"Approved","25 Oct 1948","95 min","Drama, Mystery, Thriller","Carol Reed","Graham Greene, Lesley Storm, William Templeton","Ralph Richardson, Michèle Morgan, Sonia Dresdel","A butler working in a foreign embassy in London falls under suspicion when his wife accidentally falls to her death, the only witness being an impressionable young boy.","English, French","United Kingdom","Nominated for 2 Oscars. 7 wins & 8 nominations total","https://m.media-amazon.com/images/M/MV5BNzgzN2M4ZWQtNjNmNS00NzYyLThjMDgtNzQ0ZDU4MTZjMWZmXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg","88","7.7","8,458","tt0040338","movie",NA,NA,NA,NA,"7.7/10","88/100","100%",NA,NA,NA,NA
"Best Director",NA,"All the King's Men","22-1950","tt0041113","All the King's Men","nm0744035","Robert Rossen",NA,NA,"All the King's Men",1949,"Approved","01 Jan 1950","110 min","Drama, Film-Noir","Robert Rossen","Robert Penn Warren, Robert Rossen","Broderick Crawford, John Ireland, Joanne Dru","The rise and fall of a corrupt politician, who makes his friends richer and retains power by dint of a populist appeal.","English","United States","Won 3 Oscars. 14 wins & 8 nominations total","https://m.media-amazon.com/images/M/MV5BZjQyN2MwMjAtNmJmZS00OWZlLWE1NGQtOGZmYmRjZjIyNWEyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg","N/A","7.5","14,595","tt0041113","movie",NA,NA,NA,NA,"7.5/10",NA,"97%",NA,NA,NA,NA
"Best Director",NA,"Battleground","22-1950","tt0041163","Battleground","nm0920074","William A. Wellman",NA,NA,"Battleground",1949,"Approved","20 Jan 1950","118 min","Action, Drama, History","William A. Wellman","Robert Pirosh","Van Johnson, John Hodiak, Ricardo Montalban","True tale about a squad of the 101st Airborne Division coping with being trapped by the Germans in the besieged city of Bastogne, Belgium during the Battle of the Bulge in December of 1944.","English, French, German","United States","Won 2 Oscars. 5 wins & 5 nominations total","https://m.media-amazon.com/images/M/MV5BYTYzOGIyNGQtZDljZi00NGYzLThkOTktNzNhMTM1M2Y1NDlhL2ltYWdlXkEyXkFqcGdeQXVyNDQzMDg4Nzk@._V1_SX300.jpg","N/A","7.5","7,070","tt0041163","movie",NA,NA,NA,NA,"7.5/10",NA,"75%",NA,NA,NA,NA
"Best Director",NA,"The Heiress","22-1950","tt0041452","The Heiress","nm0943758","William Wyler",NA,NA,"The Heiress",1949,"Not Rated","28 Dec 1949","115 min","Drama, Romance","William Wyler","Ruth Goetz, Augustus Goetz, Henry James","Olivia de Havilland, Montgomery Clift, Ralph Richardson","A young naive woman falls for a handsome young man who her emotionally abusive father suspects is a fortune hunter.","English, French","United States","Won 4 Oscars. 9 wins & 8 nominations total","https://m.media-amazon.com/images/M/MV5BMjZjNmVmYTMtM2U1ZS00MzNmLWExODAtMTI5MDhkZDZmYTgwXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg","N/A","8.2","15,457","tt0041452","movie",NA,NA,NA,NA,"8.2/10",NA,"100%",NA,NA,NA,NA
"Best Director","Winner","All About Eve","23-1951","tt0042192","All About Eve","nm0000581","Joseph L. Mankiewicz",NA,NA,"All About Eve",1950,"Passed","27 Oct 1950","138 min","Drama","Joseph L. Mankiewicz","Joseph L. Mankiewicz, Mary Orr","Bette Davis, Anne Baxter, George Sanders","A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.","English, French","United States","Won 6 Oscars. 26 wins & 20 nominations total","https://m.media-amazon.com/images/M/MV5BMTY2MTAzODI5NV5BMl5BanBnXkFtZTgwMjM4NzQ0MjE@._V1_SX300.jpg","98","8.2","127,965","tt0042192","movie",NA,NA,NA,NA,"8.2/10","98/100","99%",NA,NA,NA,NA
"Best Director",NA,"Sunset Blvd.","23-1951","tt0043014","Sunset Blvd.","nm0000697","Billy Wilder",NA,NA,"Sunset Blvd.",1950,"Passed","04 Aug 1950","110 min","Drama, Film-Noir","Billy Wilder","Charles Brackett, Billy Wilder, D.M. Marshman Jr.","William Holden, Gloria Swanson, Erich von Stroheim","A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.","English","United States","Won 3 Oscars. 18 wins & 20 nominations total","https://m.media-amazon.com/images/M/MV5BMTU0NTkyNzYwMF5BMl5BanBnXkFtZTgwMDU0NDk5MTI@._V1_SX300.jpg","N/A","8.4","214,686","tt0043014","movie",NA,NA,NA,NA,"8.4/10",NA,"98%",8,2021-07-09,NA,NA
"Best Director",NA,"The Third Man","23-1951","tt0041959","The Third Man","nm0715346","Carol Reed",NA,NA,"The Third Man",1949,"Approved","03 Sep 1949","93 min","Film-Noir, Mystery, Thriller","Carol Reed","Graham Greene, Orson Welles, Alexander Korda","Orson Welles, Joseph Cotten, Alida Valli","Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.","English, German, Russian, French","United Kingdom","Won 1 Oscar. 5 wins & 4 nominations total","https://m.media-amazon.com/images/M/MV5BY2Y3OGIwNTgtYTlmMy00MDg0LWE4MTQtZDE2ODQ3ZThmNGYwXkEyXkFqcGdeQXVyNDQzMDg4Nzk@._V1_SX300.jpg","97","8.1","167,667","tt0041959","movie",NA,NA,NA,NA,"8.1/10","97/100","99%",8,2022-01-01,NA,NA
"Best Director",NA,"Born Yesterday","23-1951","tt0042276","Born Yesterday","nm0002030","George Cukor",NA,NA,"Born Yesterday",1950,"Not Rated","01 Feb 1951","103 min","Comedy, Drama, Romance","George Cukor","Garson Kanin, Albert Mannheimer","Judy Holliday, William Holden, Broderick Crawford","A tycoon hires a tutor to teach his lover proper etiquette, with unexpected results.","English","United States","Won 1 Oscar. 5 wins & 10 nominations total","https://m.media-amazon.com/images/M/MV5BODBhOTdkMGYtMzRkYS00ZGU2LThlMjItMzRiNjAxMzNjMWRjXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg","N/A","7.6","10,859","tt0042276","movie",NA,NA,NA,NA,"7.6/10",NA,"97%",NA,NA,NA,NA
"Best Director",NA,"The Asphalt Jungle","23-1951","tt0042208","The Asphalt Jungle","nm0001379","John Huston",NA,NA,"The Asphalt Jungle",1950,"Passed","12 May 1950","112 min","Crime, Drama, Film-Noir","John Huston","Ben Maddow, John Huston, W.R. Burnett","Sterling Hayden, Louis Calhern, Jean Hagen","A major heist goes off as planned, but then double crosses, bad luck and solid police work cause everything to unravel.","English, German","United States","Nominated for 4 Oscars. 5 wins & 14 nominations total","https://m.media-amazon.com/images/M/MV5BNWYxNWZjZmEtOTk1Ny00ZWE0LWI1YjAtZmQ0ZjM4OGUwNmJjXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg","N/A","7.9","26,061","tt0042208","movie",NA,NA,NA,NA,"7.9/10",NA,"97%",7,2021-10-28,NA,NA
"Best Director","Winner","A Place in the Sun","24-1952","tt0043924","A Place in the Sun","nm0828419","George Stevens",NA,NA,"A Place in the Sun",1951,"Passed","09 Nov 1951","122 min","Drama, Romance","George Stevens","Theodore Dreiser, Patrick Kearney, Michael Wilson","Montgomery Clift, Elizabeth Taylor, Shelley Winters","A poor boy gets a job working for his rich uncle and ends up falling in love with two women.","English","United States","Won 6 Oscars. 15 wins & 10 nominations total","https://m.media-amazon.com/images/M/MV5BMmNjMjE2ZDMtODQzYS00ZDc2LTk0ODgtNjI1NTNhZWI5MmE0XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg","76","7.8","21,963","tt0043924","movie",NA,NA,NA,NA,"7.8/10","76/100","81%",NA,NA,NA,NA
"Best Director",NA,"A Streetcar Named Desire","24-1952","tt0044081","A Streetcar Named Desire","nm0001415","Elia Kazan",NA,NA,"A Streetcar Named Desire",1951,"M/PG","19 Sep 1951","122 min","Drama","Elia Kazan","Tennessee Williams, Oscar Saul","Vivien Leigh, Marlon Brando, Kim Hunter","Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.","English, Spanish","United States","Won 4 Oscars. 17 wins & 15 nominations total","https://m.media-amazon.com/images/M/MV5BNzk2M2Y3MzYtNGMzMi00Y2FjLTkwODQtNmExYWU3ZWY3NzExXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_SX300.jpg","97","8.0","105,354","tt0044081","movie",NA,NA,NA,NA,"8.0/10","97/100","97%",9,2021-07-09,NA,NA
"Best Director",NA,"The African Queen","24-1952","tt0043265","The African Queen","nm0001379","John Huston",NA,NA,"The African Queen",1951,"PG","21 Mar 1952","105 min","Adventure, Drama, Romance","John Huston","C.S. Forester, James Agee, John Huston","Humphrey Bogart, Katharine Hepburn, Robert Morley","In WWI East Africa, a gin-swilling Canadian riverboat captain is persuaded by a strait-laced English missionary to undertake a trip up a treacherous river and use his boat to attack a German gunship.","English, German, Swahili","United Kingdom, United States","Won 1 Oscar. 5 wins & 8 nominations total","https://m.media-amazon.com/images/M/MV5BYzM3YjE2NGMtODY3Zi00NTY0LWE4Y2EtMTE5YzNmM2U1NTg2XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg","91","7.8","77,040","tt0043265","movie",NA,NA,NA,NA,"7.8/10","91/100","98%",8,2021-07-09,"Prime","Feature Film"
"Best Director",NA,"An American in Paris","24-1952","tt0043278","An American in Paris","nm0591486","Vincente Minnelli",NA,NA,"An American in Paris",1951,"Passed","11 Nov 1951","114 min","Drama, Musical, Romance","Vincente Minnelli","Alan Jay Lerner","Gene Kelly, Leslie Caron, Oscar Levant","Three friends struggle to find work in Paris. Things become more complicated when two of them fall in love with the same woman.","English, French, German","United States","Won 6 Oscars. 10 wins & 7 nominations total","https://m.media-amazon.com/images/M/MV5BMzFkNGM0YTUtZjY5Ny00NzBkLWE1NTAtYzUxNjUyZmJlODMwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg","83","7.2","32,735","tt0043278","movie",NA,NA,NA,NA,"7.2/10","83/100","96%",6,2021-07-09,NA,NA
"Best Director",NA,"Detective Story","24-1952","tt0043465","Detective Story","nm0943758","William Wyler",NA,NA,"Detective Story",1951,"Approved","19 May 1952","103 min","Crime, Drama, Film-Noir","William Wyler","Philip Yordan, Robert Wyler, Sidney Kingsley","Kirk Douglas, Eleanor Parker, William Bendix","On one day in the 21st Precinct squad room, assorted characters form a backdrop for the troubles of hard-nosed Detective Jim McLeod.","English","United States","Nominated for 4 Oscars. 5 wins & 11 nominations total","https://m.media-amazon.com/images/M/MV5BMTkxYzQ0MzgtMzUyOS00OGYyLTg0MDAtODY5MTM1NmQwMmZmXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg","78","7.6","8,199","tt0043465","movie",NA,NA,NA,NA,"7.6/10","78/100","64%",NA,NA,NA,NA
"Best Director","Winner","The Quiet Man","25-1953","tt0045061","The Quiet Man","nm0000406","John Ford",NA,NA,"The Quiet Man",1952,"Passed","14 Sep 1952","129 min","Comedy, Drama, Romance","John Ford","Frank S. Nugent, Maurice Walsh, John Ford","John Wayne, Maureen O'Hara, Barry Fitzgerald","A retired American boxer returns to the village of his birth in 1920s Ireland, where he falls for a spirited redhead whose brother is contemptuous of their union.","English, Irish Gaelic","United States, Ireland","Won 2 Oscars. 11 wins & 8 nominations total","https://m.media-amazon.com/images/M/MV5BMWM1ZDhlM2MtNDNmMi00MDk4LTg5MjgtODE4ODk1MjYxOTIwXkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_SX300.jpg","85","7.8","37,449","tt0045061","movie",NA,NA,NA,NA,"7.8/10","85/100","91%",NA,NA,NA,NA
"Best Director",NA,"The Greatest Show on Earth","25-1953","tt0044672","The Greatest Show on Earth","nm0001124","Cecil B. DeMille",NA,NA,"The Greatest Show on Earth",1952,"Passed","01 May 1952","152 min","Drama, Family, Romance","Cecil B. DeMille","Fredric M. Frank, Barré Lyndon, Theodore St. John","James Stewart, Charlton Heston, Betty Hutton","The dramatic lives of trapeze artists, a clown, and an elephant trainer are told against a background of circus spectacle.","English, Russian","United States","Won 2 Oscars. 9 wins & 5 nominations total","https://m.media-amazon.com/images/M/MV5BMzg5MWIyMjItYWMyYS00YTFjLWFlZGMtZTJkNzgyY2VmY2U2XkEyXkFqcGdeQXVyNzE2NDk3NTY@._V1_SX300.jpg","N/A","6.6","14,120","tt0044672","movie",NA,NA,NA,NA,"6.6/10",NA,"50%",NA,NA,NA,NA
"Best Director",NA,"High Noon","25-1953","tt0044706","High Noon","nm0003593","Fred Zinnemann",NA,NA,"High Noon",1952,"PG","30 Jul 1952","85 min","Drama, Thriller, Western","Fred Zinnemann","Carl Foreman, John W. Cunningham","Gary Cooper, Grace Kelly, Thomas Mitchell","A town Marshal, despite the disagreements of his newlywed bride and the townspeople around him, must face a gang of deadly killers alone at high noon when the gang leader, an outlaw he sent up years ago, arrives on the noon train.","English, Spanish","United States","Won 4 Oscars. 17 wins & 11 nominations total","https://m.media-amazon.com/images/M/MV5BOWIzZGUxZmItOThkMS00Y2QxLTg0MTYtMDdhMjRlNTNlYTI3L2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg","89","8.0","102,122","tt0044706","movie",NA,NA,NA,NA,"8.0/10","89/100","95%",NA,NA,NA,NA
"Best Director",NA,"Moulin Rouge","25-1953","tt0044926","Moulin Rouge","nm0001379","John Huston",NA,NA,"Moulin Rouge",1952,"Not Rated","10 Apr 1953","119 min","Biography, Drama, Music","John Huston","Pierre La Mure, Anthony Veiller, John Huston","José Ferrer, Zsa Zsa Gabor, Suzanne Flon","Fictional account of French artist Henri de Toulouse-Lautrec.","English, French","United Kingdom","Won 2 Oscars. 6 wins & 10 nominations total","https://m.media-amazon.com/images/M/MV5BMjYwNjllODAtZTFmYi00YmJjLWJmM2UtNjk1MjQ4MzBhYjViL2ltYWdlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg","N/A","7.1","5,420","tt0044926","movie",NA,NA,NA,NA,"7.1/10",NA,"73%",NA,NA,NA,NA
"Best Director",NA,"5 Fingers","25-1953","tt0044314","5 Fingers","nm0000581","Joseph L. Mankiewicz",NA,NA,"5 Fingers",1952,"Approved","07 Mar 1952","108 min","Drama, Thriller","Joseph L. Mankiewicz","Michael Wilson, L.C. Moyzisch, Joseph L. Mankiewicz","James Mason, Danielle Darrieux, Michael Rennie","During WWII the valet to the British Ambassador to Ankara sells British secrets to the Germans while trying to romance a refugee Polish countess.","English, German, Portuguese, Turkish, French","United States","Nominated for 2 Oscars. 3 wins & 4 nominations total","https://m.media-amazon.com/images/M/MV5BOTYyNjk1NzAtYzdiZi00N2ExLTk3NGMtZDg2YmZjYjY3MGQyXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg","N/A","7.7","4,681","tt0044314","movie",NA,NA,NA,NA,"7.7/10",NA,"100%",NA,NA,NA,NA
"Best Director","Winner","From Here to Eternity","26-1954","tt0045793","From Here to Eternity","nm0003593","Fred Zinnemann",NA,NA,"From Here to Eternity",1953,"Passed","28 Aug 1953","118 min","Drama, Romance, War","Fred Zinnemann","Daniel Taradash, James Jones","Burt Lancaster, Montgomery Clift, Deborah Kerr","At a U.S. Army base in 1941 Hawaii, a private is cruelly punished for not boxing on his unit's team, while his commanding officer's wife and top aide begin a tentative affair.","English","United States","Won 8 Oscars. 25 wins & 9 nominations total","https://m.media-amazon.com/images/M/MV5BM2U3YzkxNGMtYWE0YS00ODk0LTk1ZGEtNjk3ZTE0MTk4MzJjXkEyXkFqcGdeQXVyNDk0MDg4NDk@._V1_SX300.jpg","85","7.6","45,918","tt0045793","movie",NA,NA,NA,NA,"7.6/10","85/100","90%",NA,NA,NA,NA
"Best Director",NA,"Stalag 17","26-1954","tt0046359","Stalag 17","nm0000697","Billy Wilder",NA,NA,"Stalag 17",1953,"Not Rated","06 Jun 1953","120 min","Comedy, Drama, War","Billy Wilder","Billy Wilder, Edwin Blum, Donald Bevan","William Holden, Don Taylor, Otto Preminger","After two Americans are killed while escaping from a German P.O.W. camp in World War II, the barracks black marketeer, J.J. Sefton, is suspected of being an informer.","English, German, Russian","United States","Won 1 Oscar. 2 wins & 6 nominations total","https://m.media-amazon.com/images/M/MV5BNDMyNGU0NjUtNTIxMC00ZmU2LWE0ZGItZTdkNGVlODI2ZDcyL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg","84","8.0","54,742","tt0046359","movie",NA,NA,NA,NA,"8.0/10","84/100","97%",NA,NA,NA,NA
"Best Director",NA,"Lili","26-1954","tt0046000","Lili","nm0910199","Charles Walters",NA,NA,"Lili",1953,"Passed","10 Jul 1953","81 min","Drama, Musical, Romance","Charles Walters","Helen Deutsch, Paul Gallico","Leslie Caron, Mel Ferrer, Jean-Pierre Aumont","An orphaned young woman becomes part of a puppet act and forms a relationship with the anti-social puppeteer.","English","United States","Won 1 Oscar. 7 wins & 8 nominations total","https://m.media-amazon.com/images/M/MV5BYjExMzU0ODYtOGU2My00YjhkLWFkMTEtM2U1YjM4YTRkM2FhXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg","N/A","7.4","3,575","tt0046000","movie",NA,NA,NA,NA,"7.4/10",NA,"100%",NA,NA,NA,NA
"Best Director",NA,"Shane","26-1954","tt0046303","Shane","nm0828419","George Stevens",NA,NA,"Shane",1953,"Not Rated","14 Aug 1953","118 min","Drama, Western","George Stevens","A.B. Guthrie Jr., Jack Sher, Jack Schaefer","Alan Ladd, Jean Arthur, Van Heflin","A weary gunfighter in 1880s Wyoming begins to envision a quieter life after befriending a homestead family with a young son who idolizes him, but a smoldering range war forces him to act.","English","United States","Won 1 Oscar. 6 wins & 12 nominations total","https://m.media-amazon.com/images/M/MV5BYzMzZmJjZGItMjY2OC00ZDcxLWI1YjQtMTU1MjQwN2NlNzIyXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg","80","7.6","39,656","tt0046303","movie",NA,NA,NA,NA,"7.6/10","80/100","97%",NA,NA,NA,NA
"Best Director",NA,"Roman Holiday","26-1954","tt0046250","Roman Holiday","nm0943758","William Wyler",NA,NA,"Roman Holiday",1953,"Passed","02 Sep 1953","118 min","Comedy, Romance","William Wyler","Dalton Trumbo, Ian McLellan Hunter, John Dighton","Gregory Peck, Audrey Hepburn, Eddie Albert","A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.","English, Italian, German","United States","Won 3 Oscars. 11 wins & 17 nominations total","https://m.media-amazon.com/images/M/MV5BMTE2MDM4MTMtZmNkZC00Y2QyLWE0YjUtMTAxZGJmODMxMDM0XkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg","78","8.0","135,153","tt0046250","movie",NA,NA,NA,NA,"8.0/10","78/100","97%",10,2021-07-31,NA,NA
"Best Director","Winner","On the Waterfront","27-1955","tt0047296","On the Waterfront","nm0001415","Elia Kazan",NA,NA,"On the Waterfront",1954,"Approved","22 Jun 1954","108 min","Crime, Drama, Thriller","Elia Kazan","Budd Schulberg, Malcolm Johnson, Robert Siodmak","Marlon Brando, Karl Malden, Lee J. Cobb","An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims.","English","United States","Won 8 Oscars. 30 wins & 9 nominations total","https://m.media-amazon.com/images/M/MV5BY2I0MWFiZDMtNWQyYy00Njk5LTk3MDktZjZjNTNmZmVkYjkxXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg","91","8.1","150,735","tt0047296","movie",NA,NA,NA,NA,"8.1/10","91/100","99%",8,2022-01-17,NA,NA
"Best Director",NA,"Rear Window","27-1955","tt0047396","Rear Window","nm0000033","Alfred Hitchcock",NA,NA,"Rear Window",1954,"PG","01 Sep 1954","112 min","Mystery, Thriller","Alfred Hitchcock","John Michael Hayes, Cornell Woolrich","James Stewart, Grace Kelly, Wendell Corey","A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend.","English","United States","Nominated for 4 Oscars. 6 wins & 13 nominations total","https://m.media-amazon.com/images/M/MV5BNGUxYWM3M2MtMGM3Mi00ZmRiLWE0NGQtZjE5ODI2OTJhNTU0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg","100","8.5","472,938","tt0047396","movie",NA,NA,NA,NA,"8.5/10","100/100","98%",9,2021-07-09,NA,NA
"Best Director",NA,"Sabrina","27-1955","tt0047437","Sabrina","nm0000697","Billy Wilder",NA,NA,"Sabrina",1954,"Passed","15 Oct 1954","113 min","Comedy, Drama, Romance","Billy Wilder","Billy Wilder, Samuel A. Taylor, Ernest Lehman","Humphrey Bogart, Audrey Hepburn, William Holden","A playboy becomes interested in the daughter of his family's chauffeur, but it's his more serious brother who would be the better man for her.","English, French","United States","Won 1 Oscar. 7 wins & 8 nominations total","https://m.media-amazon.com/images/M/MV5BYmFlNTA1NWItODQxNC00YjFmLWE3ZWYtMzg3YTkwYmMxMjY2XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg","72","7.6","63,122","tt0047437","movie",NA,NA,NA,NA,"7.6/10","72/100","93%",7,2021-07-09,NA,NA
"Best Director",NA,"The Country Girl","27-1955","tt0046874","The Country Girl","nm0780833","George Seaton",NA,NA,"The Country Girl",1954,"Unrated","17 May 1955","104 min","Drama, Music","George Seaton","Clifford Odets, George Seaton","Bing Crosby, Grace Kelly, William Holden","A director hires an alcoholic has-been and strikes up a stormy relationship with the actor's wife, who he believes is the cause of all the man's problems.","English","United States","Won 2 Oscars. 8 wins & 11 nominations total","https://m.media-amazon.com/images/M/MV5BMTdjODFiZTItOGRkMS00YzNkLWJhNzMtMzBmZTQzMmNmYTJjXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg","N/A","7.3","5,871","tt0046874","movie",NA,NA,NA,NA,"7.3/10",NA,"86%",NA,NA,NA,NA
"Best Director",NA,"The High and the Mighty","27-1955","tt0047086","The High and the Mighty","nm0920074","William A. Wellman",NA,NA,"The High and the Mighty",1954,"Not Rated","03 Jul 1954","147 min","Action, Adventure, Drama","William A. Wellman","Ernest K. Gann","John Wayne, Claire Trevor, Laraine Day","When a commercial airliner develops engine problems on a trans-Pacific flight and the pilot loses his nerve, it is up to the washed-up co-pilot Dan Roman to bring the plane in safely.","English","United States","Won 1 Oscar. 5 wins & 6 nominations total","https://m.media-amazon.com/images/M/MV5BMDJkZjIyMTgtYjdlOC00MDY2LTg5MzQtNzc4MmFmMzJjNjRiXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg","N/A","6.8","5,811","tt0047086","movie",NA,NA,NA,NA,"6.8/10",NA,"40%",NA,NA,NA,NA
"Best Director","Winner","Marty","28-1956","tt0048356","Marty","nm0542720","Delbert Mann",NA,NA,"Marty",1955,"Not Rated","10 Jun 1955","90 min","Drama, Romance","Delbert Mann","Paddy Chayefsky","Ernest Borgnine, Betsy Blair, Esther Minciotti","A middle-aged butcher and a school teacher who have given up on the idea of love meet at a dance and fall for each other.","English, German, Italian","United States","Won 4 Oscars. 19 wins & 6 nominations total","https://m.media-amazon.com/images/M/MV5BMDhjZjAzZTktMTY0MC00ZTVhLWE4NDQtZjIyN2JiYjZlMjU0XkEyXkFqcGdeQXVyMTg2NTc4MzA@._V1_SX300.jpg","N/A","7.7","23,553","tt0048356","movie",NA,NA,NA,NA,"7.7/10",NA,"99%",NA,NA,"Prime","Feature Film"
"Best Director",NA,"Summertime","28-1956","tt0048673","Summertime","nm0000180","David Lean",NA,NA,"Summertime",1955,"Approved","07 Nov 1955","100 min","Comedy, Drama, Romance","David Lean","Arthur Laurents, H.E. Bates, David Lean","Katharine Hepburn, Rossano Brazzi, Isa Miranda","An American spinster's dream of romance finally becomes a bittersweet reality when she meets a handsome--but married--Italian man while vacationing in Venice.","English, Italian","United Kingdom, United States","Nominated for 2 Oscars. 2 wins & 5 nominations total","https://m.media-amazon.com/images/M/MV5BZTdmMTRjNTMtYmUzMy00YmE5LWI1ZDYtNGEyYTRkOTIwMTk1XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg","N/A","7.2","8,325","tt0048673","movie",NA,NA,NA,NA,"7.2/10",NA,"89%",6,2021-07-09,NA,NA
"Best Director",NA,"East of Eden","28-1956","tt0048028","East of Eden","nm0001415","Elia Kazan",NA,NA,"East of Eden",1955,"PG","10 Apr 1955","118 min","Drama","Elia Kazan","John Steinbeck, Paul Osborn","James Dean, Raymond Massey, Julie Harris","Two brothers in 1910s California struggle to maintain their strict, Bible-toting father's favor as an old secret about their long-absent mother comes to light.","English","United States","Won 1 Oscar. 13 wins & 10 nominations total","https://m.media-amazon.com/images/M/MV5BMzE1MzdjNmUtOWU5MS00OTgwLWIzYjYtYTYwYTM0NDkyOTU1XkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg","72","7.9","44,427","tt0048028","movie",NA,NA,NA,NA,"7.9/10","72/100","85%",6,2021-07-09,NA,NA
